depth_bin,depth_min,depth_max,units,Land,Atlantic,Pacific,Indian,Arctic,Southern,Mediterranean,Coastal Atlantic,Coastal Pacific,Coastal Indian,Coastal Arctic,Coastal Southern,Coastal Mediterranean
6000-6100,6000,6100,L,0.0,3507915814245733.0,6.196557570873518e+16,0.0,0.0,5415047781886703.0,0.0,3500881473948920.0,2.334510170674931e+16,0.0,0.0,0.0,0.0
6100-6200,6100,6200,L,0.0,2340955322929426.5,4.331610308337563e+16,0.0,0.0,1384473703326735.5,0.0,3500881473948920.0,1.946292526504925e+16,0.0,0.0,0.0,0.0
6200-6300,6200,6300,L,0.0,1166960491316306.8,3.092000650224907e+16,0.0,0.0,1384473703326735.5,0.0,3500881473948920.0,1.2568852573601056e+16,0.0,0.0,0.0,0.0
6300-6400,6300,6400,L,0.0,1166960491316306.8,2.6709293661357436e+16,0.0,0.0,1384473703326735.5,0.0,3500881473948920.0,1.0753400325628262e+16,0.0,0.0,0.0,0.0
6400-6500,6400,6500,L,0.0,0.0,2.582631205865696e+16,0.0,0.0,701193090663341.6,0.0,3500881473948920.0,8728413560511175.0,0.0,0.0,0.0,0.0
6500-6600,6500,6600,L,0.0,0.0,2.2810174708586916e+16,0.0,0.0,701193090663341.6,0.0,2333920982632613.5,7845431957810699.0,0.0,0.0,0.0,0.0
6600-6700,6600,6700,L,0.0,0.0,2.1643214217270612e+16,0.0,0.0,0.0,0.0,2333920982632613.5,4387703239769368.0,0.0,0.0,0.0,0.0
6700-6800,6700,6800,L,0.0,0.0,1.954741691413098e+16,0.0,0.0,0.0,0.0,2333920982632613.5,3160325712390116.0,0.0,0.0,0.0,0.0
6800-6900,6800,6900,L,0.0,0.0,1.7121185042176416e+16,0.0,0.0,0.0,0.0,1166960491316306.8,3160325712390116.0,0.0,0.0,0.0,0.0
6900-7000,6900,7000,L,0.0,0.0,1.3913296204862312e+16,0.0,0.0,0.0,0.0,1166960491316306.8,897990636295872.5,0.0,0.0,0.0,0.0
7000-7100,7000,7100,L,0.0,0.0,1.2761468545543364e+16,0.0,0.0,0.0,0.0,1166960491316306.8,897990636295872.5,0.0,0.0,0.0,0.0
7100-7200,7100,7200,L,0.0,0.0,8663633473383057.0,0.0,0.0,0.0,0.0,1166960491316306.8,897990636295872.5,0.0,0.0,0.0,0.0
7200-7300,7200,7300,L,0.0,0.0,6552871637434430.0,0.0,0.0,0.0,0.0,1166960491316306.8,0.0,0.0,0.0,0.0,0.0
7300-7400,7300,7400,L,0.0,0.0,2259305033021169.5,0.0,0.0,0.0,0.0,1166960491316306.8,0.0,0.0,0.0,0.0,0.0
7400-7500,7400,7500,L,0.0,0.0,1055541682085124.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
